team_size,combination,win_rate,wins,total_games
3,artillery + cleric + wraith,0.965812,113,117
3,artillery + colossus + guardian,0.522727,69,132
3,artillery + colossus + mage,0.741667,89,120
3,artillery + colossus + monk,0.624113,88,141
3,artillery + colossus + oracle,0.719424,100,139
3,artillery + colossus + paladin,0.678261,78,115
3,artillery + colossus + rogue,0.453782,54,119
3,artillery + colossus + siren,0.714286,90,126
3,artillery + colossus + sniper,0.857143,114,133
3,artillery + colossus + swordsman,0.443609,59,133
3,artillery + colossus + valkyrie,0.564103,66,117
3,artillery + colossus + warlock,0.940171,110,117
3,artillery + colossus + wraith,0.5,62,124
3,artillery + guardian + mage,0.839695,110,131
3,artillery + guardian + monk,0.65625,84,128
3,artillery + guardian + oracle,0.772277,78,101
3,artillery + guardian + paladin,0.648438,83,128
3,artillery + guardian + rogue,0.491803,60,122
3,artillery + guardian + siren,0.666667,94,141
3,artillery + guardian + sniper,0.915254,108,118
3,artillery + guardian + swordsman,0.47541,58,122
3,artillery + guardian + valkyrie,0.606299,77,127
3,artillery + guardian + warlock,0.921053,105,114
3,artillery + guardian + wraith,0.518797,69,133
3,artillery + mage + monk,0.79661,94,118
3,artillery + mage + oracle,0.848684,129,152
3,artillery + mage + paladin,0.878049,108,123
3,artillery + mage + rogue,0.669355,83,124
3,artillery + mage + siren,0.734375,94,128
3,artillery + mage + sniper,0.953846,124,130
3,artillery + mage + swordsman,0.635514,68,107
3,artillery + mage + valkyrie,0.803571,90,112
3,artillery + mage + warlock,0.956897,111,116
3,artillery + mage + wraith,0.769231,90,117
3,artillery + monk + oracle,0.777778,105,135
3,artillery + monk + paladin,0.646617,86,133
3,artillery + monk + rogue,0.464,58,125
3,artillery + monk + siren,0.618644,73,118
3,artillery + monk + sniper,0.924658,135,146
3,artillery + monk + swordsman,0.429752,52,121
3,artillery + monk + valkyrie,0.705882,84,119
3,artillery + monk + warlock,0.890909,98,110
3,artillery + monk + wraith,0.458333,55,120
3,artillery + oracle + paladin,0.872881,103,118
3,artillery + oracle + rogue,0.68595,83,121
3,artillery + oracle + siren,0.715517,83,116
3,artillery + oracle + sniper,0.966942,117,121
3,artillery + oracle + swordsman,0.64,64,100
3,artillery + oracle + valkyrie,0.697479,83,119
3,artillery + oracle + warlock,0.941176,112,119
3,artillery + oracle + wraith,0.741071,83,112
3,artillery + paladin + rogue,0.51145,67,131
3,artillery + paladin + siren,0.727941,99,136
3,artillery + paladin + sniper,0.944954,103,109
3,artillery + paladin + swordsman,0.54918,67,122
3,artillery + paladin + valkyrie,0.698413,88,126
3,artillery + paladin + warlock,0.919192,91,99
3,artillery + paladin + wraith,0.529915,62,117
3,artillery + rogue + siren,0.586207,68,116
3,artillery + rogue + sniper,0.723404,68,94
3,artillery + rogue + swordsman,0.238806,32,134
3,artillery + rogue + valkyrie,0.453125,58,128
3,artillery + rogue + warlock,0.768116,106,138
3,artillery + rogue + wraith,0.303571,34,112
3,artillery + siren + sniper,0.893939,118,132
3,artillery + siren + swordsman,0.495726,58,117
3,artillery + siren + valkyrie,0.653061,64,98
3,artillery + siren + warlock,0.921739,106,115
3,artillery + siren + wraith,0.614173,78,127
3,artillery + sniper + swordsman,0.837398,103,123
3,artillery + sniper + valkyrie,0.929825,106,114
3,artillery + sniper + warlock,0.982456,112,114
3,artillery + sniper + wraith,0.793388,96,121
3,artillery + swordsman + valkyrie,0.458716,50,109
3,artillery + swordsman + warlock,0.826772,105,127
3,artillery + swordsman + wraith,0.263566,34,129
3,artillery + valkyrie + warlock,0.908333,109,120
3,artillery + valkyrie + wraith,0.496124,64,129
3,artillery + warlock + wraith,0.865546,103,119
3,assassin + berserker + cleric,0.476923,62,130
3,assassin + berserker + colossus,0.036765,5,136
3,assassin + berserker + guardian,0.025424,3,118
3,assassin + berserker + mage,0.279412,38,136
3,assassin + berserker + monk,0.100719,14,139
3,assassin + berserker + oracle,0.2,27,135
3,assassin + berserker + paladin,0.059829,7,117
3,assassin + berserker + rogue,0.061947,7,113
3,assassin + berserker + siren,0.178947,17,95
3,assassin + berserker + sniper,0.40404,40,99
3,assassin + berserker + swordsman,0.022556,3,133
3,assassin + berserker + valkyrie,0.046154,6,130
3,assassin + berserker + warlock,0.459854,63,137
3,assassin + berserker + wraith,0.035088,4,114
3,assassin + cleric + colossus,0.485075,65,134
3,assassin + cleric + guardian,0.477612,64,134
3,assassin + cleric + mage,0.831933,99,119
3,assassin + cleric + monk,0.678261,78,115
3,assassin + cleric + oracle,0.778689,95,122
3,assassin + cleric + paladin,0.634146,78,123
3,assassin + cleric + rogue,0.445313,57,128
3,assassin + cleric + siren,0.656,82,125
3,assassin + cleric + sniper,0.902098,129,143
3,assassin + cleric + swordsman,0.444444,48,108
3,assassin + cleric + valkyrie,0.663866,79,119
3,assassin + cleric + warlock,0.913043,126,138
3,assassin + cleric + wraith,0.539683,68,126
3,assassin + colossus + guardian,0.025641,3,117
3,assassin + colossus + mage,0.310078,40,129
3,assassin + colossus + monk,0.116279,15,129
3,assassin + colossus + oracle,0.208333,30,144
3,assassin + colossus + paladin,0.088235,9,102
3,assassin + colossus + rogue,0.085271,11,129
3,assassin + colossus + siren,0.17094,20,117
3,assassin + colossus + sniper,0.519231,54,104
3,assassin + colossus + swordsman,0.027523,3,109
3,assassin + colossus + valkyrie,0.073529,10,136
3,assassin + colossus + warlock,0.455357,51,112
3,assassin + colossus + wraith,0.096,12,125
3,assassin + guardian + mage,0.381295,53,139
3,assassin + guardian + monk,0.169355,21,124
3,assassin + guardian + oracle,0.305556,44,144
3,assassin + guardian + paladin,0.063063,7,111
3,assassin + guardian + rogue,0.102041,10,98
3,assassin + guardian + siren,0.232558,30,129
3,assassin + guardian + sniper,0.508475,60,118
3,assassin + guardian + swordsman,0.061404,7,114
3,assassin + guardian + valkyrie,0.116667,14,120
3,assassin + guardian + warlock,0.583333,77,132
3,assassin + guardian + wraith,0.092308,12,130
3,assassin + mage + monk,0.469565,54,115
3,assassin + mage + oracle,0.507937,64,126
3,assassin + mage + paladin,0.468254,59,126
3,assassin + mage + rogue,0.333333,38,114
3,assassin + mage + siren,0.467742,58,124
3,assassin + mage + sniper,0.775862,90,116
3,assassin + mage + swordsman,0.305085,36,118
3,assassin + mage + valkyrie,0.444444,56,126
3,assassin + mage + warlock,0.73913,85,115
3,assassin + mage + wraith,0.315385,41,130
3,assassin + monk + oracle,0.393939,52,132
3,assassin + monk + paladin,0.238462,31,130
3,assassin + monk + rogue,0.093458,10,107
3,assassin + monk + siren,0.232323,23,99
3,assassin + monk + sniper,0.609023,81,133
3,assassin + monk + swordsman,0.064516,8,124
3,assassin + monk + valkyrie,0.126984,16,126
3,assassin + monk + warlock,0.538462,56,104
3,assassin + monk + wraith,0.233333,28,120
3,assassin + oracle + paladin,0.401709,47,117
3,assassin + oracle + rogue,0.206186,20,97
3,assassin + oracle + siren,0.281481,38,135
3,assassin + oracle + sniper,0.689922,89,129
3,assassin + oracle + swordsman,0.159664,19,119
3,assassin + oracle + valkyrie,0.333333,36,108
3,assassin + oracle + warlock,0.657895,75,114
3,assassin + oracle + wraith,0.242424,32,132
3,assassin + paladin + rogue,0.148649,22,148
3,assassin + paladin + siren,0.25,30,120
3,assassin + paladin + sniper,0.626667,94,150
3,assassin + paladin + swordsman,0.042857,6,140
3,assassin + paladin + valkyrie,0.152,19,125
3,assassin + paladin + warlock,0.658915,85,129
3,assassin + paladin + wraith,0.083916,12,143
3,assassin + rogue + siren,0.18254,23,126
3,assassin + rogue + sniper,0.335938,43,128
3,assassin + rogue + swordsman,0.090164,11,122
3,assassin + rogue + valkyrie,0.109244,13,119
3,assassin + rogue + warlock,0.468468,52,111
3,assassin + rogue + wraith,0.146552,17,116
3,assassin + siren + sniper,0.59542,78,131
3,assassin + siren + swordsman,0.179487,21,117
3,assassin + siren + valkyrie,0.252174,29,115
3,assassin + siren + warlock,0.576271,68,118
3,assassin + siren + wraith,0.214876,26,121
3,assassin + sniper + swordsman,0.432432,64,148
3,assassin + sniper + valkyrie,0.601504,80,133
3,assassin + sniper + warlock,0.864,108,125
3,assassin + sniper + wraith,0.471074,57,121
3,assassin + swordsman + valkyrie,0.058333,7,120
3,assassin + swordsman + warlock,0.4375,49,112
3,assassin + swordsman + wraith,0.072581,9,124
3,assassin + valkyrie + warlock,0.564286,79,140
3,assassin + valkyrie + wraith,0.105691,13,123
3,assassin + warlock + wraith,0.532258,66,124
3,berserker + cleric + colossus,0.295652,34,115
3,berserker + cleric + guardian,0.353448,41,116
3,berserker + cleric + mage,0.75,96,128
3,berserker + cleric + monk,0.542636,70,129
3,berserker + cleric + oracle,0.55814,72,129
3,berserker + cleric + paladin,0.447619,47,105
3,berserker + cleric + rogue,0.375,48,128
3,berserker + cleric + siren,0.596639,71,119
3,berserker + cleric + sniper,0.875,105,120
3,berserker + cleric + swordsman,0.32,40,125
3,berserker + cleric + valkyrie,0.480769,50,104
3,berserker + cleric + warlock,0.877049,107,122
3,berserker + cleric + wraith,0.512397,62,121
3,berserker + colossus + guardian,0,0,115
3,berserker + colossus + mage,0.15,18,120
3,berserker + colossus + monk,0.008,1,125
3,berserker + colossus + oracle,0.067227,8,119
3,berserker + colossus + paladin,0,0,128
3,berserker + colossus + rogue,0.008333,1,120
3,berserker + colossus + siren,0.034247,5,146
3,berserker + colossus + sniper,0.302521,36,119
3,berserker + colossus + swordsman,0.016667,2,120
3,berserker + colossus + valkyrie,0,0,116
3,berserker + colossus + warlock,0.234234,26,111
3,berserker + colossus + wraith,0.039683,5,126
3,berserker + guardian + mage,0.326733,33,101
3,berserker + guardian + monk,0.008929,1,112
3,berserker + guardian + oracle,0.065574,8,122
3,berserker + guardian + paladin,0,0,122
3,berserker + guardian + rogue,0.017391,2,115
3,berserker + guardian + siren,0.026549,3,113
3,berserker + guardian + sniper,0.37931,44,116
3,berserker + guardian + swordsman,0.009346,1,107
3,berserker + guardian + valkyrie,0,0,152
3,berserker + guardian + warlock,0.403509,46,114
3,berserker + guardian + wraith,0.015625,2,128
3,berserker + mage + monk,0.307018,35,114
3,berserker + mage + oracle,0.45098,69,153
3,berserker + mage + paladin,0.292308,38,130
3,berserker + mage + rogue,0.248062,32,129
3,berserker + mage + siren,0.345794,37,107
3,berserker + mage + sniper,0.657658,73,111
3,berserker + mage + swordsman,0.099237,13,131
3,berserker + mage + valkyrie,0.213115,26,122
3,berserker + mage + warlock,0.635514,68,107
3,berserker + mage + wraith,0.31405,38,121
3,berserker + monk + oracle,0.2,23,115
3,berserker + monk + paladin,0.038835,4,103
3,berserker + monk + rogue,0.075,9,120
3,berserker + monk + siren,0.161765,22,136
3,berserker + monk + sniper,0.452991,53,117
3,berserker + monk + swordsman,0.014184,2,141
3,berserker + monk + valkyrie,0.026316,3,114
3,berserker + monk + warlock,0.457364,59,129
3,berserker + monk + wraith,0.086614,11,127
3,berserker + oracle + paladin,0.166667,19,114
3,berserker + oracle + rogue,0.141732,18,127
3,berserker + oracle + siren,0.179104,24,134
3,berserker + oracle + sniper,0.632813,81,128
3,berserker + oracle + swordsman,0.097345,11,113
3,berserker + oracle + valkyrie,0.102804,11,107
3,berserker + oracle + warlock,0.495798,59,119
3,berserker + oracle + wraith,0.178571,25,140
3,berserker + paladin + rogue,0.061069,8,131
3,berserker + paladin + siren,0.170213,16,94
3,berserker + paladin + sniper,0.552239,74,134
3,berserker + paladin + swordsman,0,0,129
3,berserker + paladin + valkyrie,0.009524,1,105
3,berserker + paladin + warlock,0.545455,66,121
3,berserker + paladin + wraith,0.060606,8,132
3,berserker + rogue + siren,0.155039,20,129
3,berserker + rogue + sniper,0.311111,42,135
3,berserker + rogue + swordsman,0.015385,2,130
3,berserker + rogue + valkyrie,0.019048,2,105
3,berserker + rogue + warlock,0.396825,50,126
3,berserker + rogue + wraith,0.055556,7,126
3,berserker + siren + sniper,0.532258,66,124
3,berserker + siren + swordsman,0.018018,2,111
3,berserker + siren + valkyrie,0.098485,13,132
3,berserker + siren + warlock,0.45045,50,111
3,berserker + siren + wraith,0.201681,24,119
3,berserker + sniper + swordsman,0.296875,38,128
3,berserker + sniper + valkyrie,0.41129,51,124
3,berserker + sniper + warlock,0.798387,99,124
3,berserker + sniper + wraith,0.438462,57,130
3,berserker + swordsman + valkyrie,0.008264,1,121
3,berserker + swordsman + warlock,0.258621,30,116
3,berserker + swordsman + wraith,0.023622,3,127
3,berserker + valkyrie + warlock,0.571429,68,119
3,berserker + valkyrie + wraith,0.072581,9,124
3,berserker + warlock + wraith,0.496,62,125
3,cleric + colossus + guardian,0.387097,48,124
3,cleric + colossus + mage,0.792,99,125
3,cleric + colossus + monk,0.657658,73,111
3,cleric + colossus + oracle,0.626016,77,123
3,cleric + colossus + paladin,0.570093,61,107
3,cleric + colossus + rogue,0.432203,51,118
3,cleric + colossus + siren,0.557692,58,104
3,cleric + colossus + sniper,0.842593,91,108
3,cleric + colossus + swordsman,0.372093,48,129
3,cleric + colossus + valkyrie,0.596491,68,114
3,cleric + colossus + warlock,0.889831,105,118
3,cleric + colossus + wraith,0.5,57,114
3,cleric + guardian + mage,0.848739,101,119
3,cleric + guardian + monk,0.586957,81,138
3,cleric + guardian + oracle,0.696721,85,122
3,cleric + guardian + paladin,0.619718,88,142
3,cleric + guardian + rogue,0.548148,74,135
3,cleric + guardian + siren,0.669065,93,139
3,cleric + guardian + sniper,0.88,88,100
3,cleric + guardian + swordsman,0.462185,55,119
3,cleric + guardian + valkyrie,0.647887,92,142
3,cleric + guardian + warlock,0.914063,117,128
3,cleric + guardian + wraith,0.628099,76,121
3,cleric + mage + monk,0.885246,108,122
3,cleric + mage + oracle,0.795082,97,122
3,cleric + mage + paladin,0.801653,97,121
3,cleric + mage + rogue,0.732824,96,131
3,cleric + mage + siren,0.848,106,125
3,cleric + mage + sniper,0.960396,97,101
3,cleric + mage + swordsman,0.744186,96,129
3,cleric + mage + valkyrie,0.896552,104,116
3,cleric + mage + warlock,0.936,117,125
3,cleric + mage + wraith,0.8125,104,128
3,cleric + monk + oracle,0.795918,117,147
3,cleric + monk + paladin,0.645455,71,110
3,cleric + monk + rogue,0.573643,74,129
3,cleric + monk + siren,0.761905,96,126
